"What if surge coincides with wildfire risk?","Evacuate as directed; prioritize immediate water hazards but stay aware of fire threats."
"What if surge damages shelters?","Move to secondary shelter or vertical evacuation location as directed."
"What if surge damages elderly care facilities?","Evacuate residents safely, coordinate with emergency management and family contacts."
"What if surge hits during a festival or large gathering?","Follow emergency evacuation plans, stay calm, and assist others if possible."
"What if surge damages power plants?","Avoid flooded areas, follow local energy advisories, and stay updated via radio."
"What if surge destroys coastal roads?","Seek alternative inland routes or vertical evacuation if available."
"What if surge blocks hospitals or clinics?","Move patients to accessible locations and coordinate with emergency responders."
"What if surge contaminates food supplies?","Discard contaminated items, use stored safe food, and follow public health guidance."
"What if surge disrupts emergency services?","Follow official instructions, stay calm, and rely on pre-arranged emergency plans."
"What if surge damages schools during class hours?","Move students to upper floors, follow school emergency plan, and communicate with parents."
"What if surge happens during night evacuation drills?","Practice routes in low light, use flashlights, and follow designated paths safely."
"What is a tropical depression?","Organized tropical cyclone with sustained winds up to 62 km/h (38 mph)."
"What is a tropical storm?","Tropical cyclone with sustained winds of 63-118 km/h (39-73 mph)."
"How do tropical depressions form?","Low pressure system over warm ocean water begins to organize and develop circulation."
"How do tropical storms form?","Tropical depression intensifies when winds reach 63 km/h (39 mph)."
"What's the difference between tropical depression and tropical storm?","Wind speed - depression under 63 km/h, tropical storm 63-118 km/h."
"What's the difference between tropical storm and hurricane?","Hurricane has sustained winds of 119+ km/h (74+ mph), tropical storm is weaker."
"Can tropical depressions become hurricanes?","Yes, if conditions are favorable they can intensify through tropical storm to hurricane."
"What conditions help tropical systems intensify?","Warm ocean water, low wind shear, high humidity, favorable upper-level winds."
"What conditions weaken tropical systems?","Cool water, high wind shear, dry air, land interaction."
"What ocean temperature is needed for tropical development?","At least 26.5°C (80°F) in upper 50 meters of ocean."
"Where do tropical depressions typically form?","Between 5-20 degrees latitude over warm ocean waters."
"Why don't tropical systems form near equator?","Insufficient Coriolis effect to create rotation needed for development."
"What is the eye in tropical storms?","Not well-defined like hurricanes, may have weak circulation center."
"Do tropical depressions have eyes?","Rarely, usually just loose circulation without clear eye structure."
"How are tropical depressions numbered?","Sequential numbers by basin (e.g., Tropical Depression 5)."
"When do tropical storms get names?","When sustained winds reach 63 km/h (39 mph) - tropical storm strength."
"Who assigns tropical storm names?","Regional meteorological centers using predetermined alphabetical lists."
"How long do tropical depressions last?","Usually 2-7 days, either dissipate or strengthen to tropical storm."
"How long do tropical storms last?","Typically 3-14 days depending on environmental conditions and track."
"How fast do tropical systems move?","Usually 15-30 km/h (10-20 mph), can stall or move rapidly."
