"ଟ୍ସୁନାମି ମଡେଲ୍ କିପରି କାମ କରେ?","ତରଙ୍ଗ ସୃଷ୍ଟି, ପ୍ରସାରଣ, କୂଳୀୟ ପ୍ରଭାବର କମ୍ପ୍ୟୁଟର ସିମୁଲେସନ୍।"
"କ'ଣ ନୂତନ ପ୍ରଯୁକ୍ତି ଉନ୍ନତ ହେଉଛି?","ଦ୍ରୁତ ସନ୍ଦେଶ ମାପ, ସୁଧାରିତ ମଡେଲିଂ, ଭଲ ଚେତାବନୀ ବିତରଣ।"
"କୃତ୍ରିମ ବୁଦ୍ଧି କିପରି ସାହାଯ୍ୟ କରିପାରିବ?","ତରଙ୍ଗ ପୂର୍ବାନୁମାନ, ପଳାଇବା ରାସ୍ତା ଉନ୍ନତ, ଝୁମ୍ପ ପ୍ୟାଟର୍ନ ବିଶ୍ଳେଷଣ।"
"ସମୁଦାୟ ଭିତ୍ତିକ ଚେତାବନୀ କ'ଣ?","ସ୍ଥାନୀୟ ପ୍ରଣାଳୀ ଯାହା ସରକାରୀ ଚେତାବନୀ ସହ ସହଯୋଗ କରେ।"
"ଦୀର୍ଘକାଳୀନ ପ୍ରସ୍ତୁତି କିପରି ରଖିବେ?","ନିୟମିତ ଯୋଜନା ଅଦ୍ୟତନ, ଶିକ୍ଷା, ଉପକରଣ ରକ୍ଷା, ସମୁଦାୟ ସଂପୃକ୍ତି।"
"ଟ୍ସୁନାମି ଝୁମ୍ପ ମୂଲ୍ୟାଙ୍କନ କ'ଣ?","ବିଶେଷ ଅଞ୍ଚଳ ପାଇଁ ଟ୍ସୁନାମି ସମ୍ଭାବନା ଏବଂ ପ୍ରଭାବର ବୈଜ୍ଞାନିକ ମୂଲ୍ୟାଙ୍କନ।"
"ବିକାଶ ସହ ଟ୍ସୁନାମି ଝୁମ୍ପ କିପରି ସମତୁଳିତ କରିବେ?","ଜୋନିଂ ପ୍ରତିବନ୍ଧ, ନିର୍ମାଣ କୋଡ୍‌, ସେଟ୍‌ବ୍ୟାକ୍, ଝୁମ୍ପ ଖୋଲାସା।"
"ସିକ୍ଷାର ଭୂମିକା କ'ଣ?","ପ୍ରାକୃତିକ ସୂଚନା ଚିହ୍ନଟ କରିବା ଏବଂ ଉଚିତ ପ୍ରତିକ୍ରିୟା ଶିକ୍ଷା।"
"ଟ୍ସୁନାମି ପ୍ରସ୍ତୁତି ଯୋଜନା କିପରି ଅଦ୍ୟତନ କରିବେ?","ନିୟମିତ ସମୀକ୍ଷା, ଶିକ୍ଷାର ଶିକ୍ଷା ସମ୍ମିଳିତ କରନ୍ତୁ, ସଂପର୍କ ସୂଚନା ଅଦ୍ୟତନ, ଡ୍ରିଲ୍ ପ୍ରାକ୍ଟିସ।"
"ଟ୍ସୁନାମି ପ୍ରସ୍ତୁତି କେମିତି ସଫଳ?","ସମୁଦାୟ ସଚେତନତା, କାର୍ଯ୍ୟକ୍ଷମ ଚେତାବନୀ ପ୍ରଣାଳୀ, ସ୍ପଷ୍ଟ ପଳାଇବା ରାସ୍ତା, ନିୟମିତ ଅଭ୍ୟାସ।"
"ପାରମ୍ପରିକ ଜ୍ଞାନରେ ଭରସା କରିବେ କି?","ହଁ, ଆଦିବାସୀ ଜ୍ଞାନ ପ୍ରାଚୀନ ଘଟଣା ସହିତ ମୂଲ୍ୟବାନ ସୂଚନା ଦେଇଥାଏ।"
"ରାତିରେ ଟ୍ସୁନାମି ପାଇଁ କିପରି ପ୍ରସ୍ତୁତ ହେବେ?","ଟର୍ଚ୍ ତିଆରି, ଭାବେ ଏବଂ ଅନ୍ଧକାରରେ ପ୍ରାକ୍ଟିସ କରନ୍ତୁ।"
"ଖରାପ ଆବହା ମଧ୍ୟରେ ଟ୍ସୁନାମି ହେଲେ କ'ଣ କରିବେ?","ତଥାପି ତୁରନ୍ତ ପଳାନ୍ତୁ, ଉଚ୍ଚ ଜମିରେ ସୁଦୃଢ ସେଲ୍ଟର୍ ସନ୍ଧାନ କରନ୍ତୁ।"
"ସାନ ଟ୍ସୁନାମି କିପରି ଜୋଖିମପୂର୍ଣ୍ଣ ହୋଇପାରେ?","ହଁ, ସାନ ତରଙ୍ଗରେ ମଧ୍ୟ ଶକ୍ତିଶାଳୀ ପ୍ରବାହ ରହିଥାଏ ଏବଂ ଡୁବିବା ଘଟିପାରେ।"
"ଟ୍ସୁନାମି ଏବଂ ଷ୍ଟର୍ମ ସର୍ଜ୍‌ର ତଫାତ କ'ଣ?","ଟ୍ସୁନାମି ଭୌଗୋଳିକ ଘଟଣାରୁ ହୁଏ, ଷ୍ଟର୍ମ ସର୍ଜ୍ ଆବହା ସହିତ ସୃଷ୍ଟି ହୁଏ।"
"ଟ୍ସୁନାମିକୁ ସାଧାରଣ ତରଙ୍ଗରୁ କିପରି ଚିହ୍ନଟ କରିବେ?","ଟ୍ସୁନାମି ସମ୍ପୂର୍ଣ୍ଣ ଜଳ ଧାରାକୁ ପ୍ରଭାବିତ କରେ, ଦୀର୍ଘ ସମୟ ପରିଚାଳନା ରହିଥାଏ, ଘଣ୍ଟା ପର୍ଯ୍ୟନ୍ତ ଚାଲିଥାଏ।"
"ଟ୍ସୁନାମି ପଳାଇବା ଅଞ୍ଚଳର ନିକଟରେ ଥିଲେ କ'ଣ କରିବେ?","ନିମ୍ନ-ସ୍ଥଳ ନଦୀ ଭ୍ୟାଲିରେ ଥିଲେ ବି, ପଳାଇବାକୁ ପଡ଼ିପାରେ।"
"ନଦୀ ମଧ୍ୟରେ ଟ୍ସୁନାମି ତରଙ୍ଗ ଯାଇପାରେ କି?","ହଁ, ନଦୀରେ ଯାଇ ପ୍ରାୟ ଦୂର ଦକ୍ଷିଣ ସମୁଦ୍ର ପ୍ରାଚୀର ପର୍ଯ୍ୟନ୍ତ ବନ୍ୟା ଘଟାଇପାରେ।"
"ଟ୍ସୁନାମି ପରେ ଅନ୍ୟ ଆପତ୍କାଳୀନ ଘଟଣା ପାଇଁ କିପରି ପ୍ରସ୍ତୁତ ହେବେ?","ଆଗ, ରାସାୟନିକ ଛିଡ଼ିବା, ଢାଞ୍ଞା ବିଫଳତା ପାଇଁ ଯୋଜନା କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପାଇଁ ପରମାଣୁ କାରଖାନା କ୍ଷତିଗ୍ରସ୍ତ ହେଲେ କ'ଣ କରିବେ?","ପଳାଇବା ଆଦେଶ ପାଳନ କରନ୍ତୁ, ଦିଆଯାଇଥିଲେ ପୋଟାସିୟମ୍ ଆଯୋଡାଇଡ୍ ନିଅନ୍ତୁ, ବିକିରଣ ସ୍ତର ମନିଟର୍ କରନ୍ତୁ।"
"ଜାଗତିକ ଭୂକମ୍ପ କାର୍ଯ୍ୟକଳାପ ସମ୍ପର୍କରେ ସୂଚିତ ରହିବା ଆବଶ୍ୟକ କି?","ହଁ, ବଡ଼ ଦୂର ଭୂକମ୍ପ ଘଣ୍ଟା ପରେ ଟ୍ସୁନାମି ସୃଷ୍ଟି କରିପାରେ।"
"ସବୁଠୁ ମହତ୍ତ୍ୱପୂର୍ଣ୍ଣ ଟ୍ସୁନାମି ସୁରକ୍ଷା ନିୟମ କ'ଣ?","ସନ୍ଦେହ ହେଲେ, ତୁରନ୍ତ ଉଚ୍ଚ ଜମିକୁ ପଳାଇବା।"
"ଟ୍ସୁନାମି ସୁରକ୍ଷା ପାଇଁ କିପରି ମନେ ରଖିବେ?","DROP (ଭୂକମ୍ପ), CHECK (ପ୍ରାକୃତିକ ସଙ୍କେତ), GO (ଉଚ୍ଚ ଜମିକୁ ପଳାନ୍ତୁ)।"
"ଟ୍ସୁନାମି କ'ଣ?","ବଡ଼ ପାଣିର ହଠାତ ସ୍ଥାନାନ୍ତରଣ ଦ୍ୱାରା ଉତ୍ପନ୍ନ ସମୁଦ୍ର ତରଙ୍ଗ ସମୁହ।"
"ଟ୍ସୁନାମି କାହିଁକି ହୁଏ?","ଜଳମଧ୍ୟରେ ଭୂକମ୍ପ, ଆଗ୍ନେୟଗ୍ରାହୀ ବିସ୍ଫୋରଣ, ଭୂସ୍କ୍ରୋଳ୍, ମେଟିଓରାଇଟ୍ ପ୍ରଭାବ।"
"ସବୁଠୁ ସାଧାରଣ କାରଣ କ'ଣ?","ମାଗ୍ନିଟୁଡ୍ 7.0 କିମ୍ବା ତାହାଠାରୁ ବଡ଼ ଭୂକମ୍ପ।"
"ଆଗ୍ନେୟଗ୍ରାହୀ ବିସ୍ଫୋରଣ କିପରି ଟ୍ସୁନାମି ହେବାକୁ ସମର୍ଥ?","ହଁ, ବିସ୍ଫୋରକାରୀ ବିସ୍ଫୋରଣ ବଡ଼ ପାଣି ସ୍ଥାନାନ୍ତରଣ କରିପାରେ।"
"ଭୂସ୍କ୍ରୋଳ୍ କିପରି ଟ୍ସୁନାମି ହେବାକୁ ସମର୍ଥ?","ହଁ, ଜଳମଧ୍ୟରେ କିମ୍ବା କୂଳୀୟ ଭୂସ୍କ୍ରୋଳ୍ ସ୍ଥାନୀୟ ଟ୍ସୁନାମି ଉତ୍ପନ୍ନ କରିପାରେ।"
"ଇତିହାସର ସବୁଠୁ ମାରଣାନ୍ତକ ଟ୍ସୁନାମି କ'ଣ?","2004 ଭାରତୀୟ ସମୁଦ୍ର ଟ୍ସୁନାମି, ଯେଉଁଥିରେ 2,30,000 ଅଧିକ ଲୋକ ମୃତ।"
"ସବୁଠୁ ବଡ଼ ତରଙ୍ଗ କେବେ ରେକର୍ଡ ହୋଇଛି?","1958 Lituya Bay, Alaska - 524 ମିଟର (1,720 ଫୁଟ) ଉଚ୍ଚ।"
"ଗଭୀର ସମୁଦ୍ରରେ ଟ୍ସୁନାମି କେତେ ତ୍ୱରିତ ଗତି କରେ?","500-800 km/h (300-500 mph), ବଣ୍ଜନ ବିମାନ ସହିତ ସମାନ।"
"ଶିଖର ଜଳରେ କେତେ ତ୍ୱରିତ ଗତି କରେ?","50-100 km/h (30-60 mph), କିନ୍ତୁ କୂଳରେ ତରଙ୍ଗ ଉଚ୍ଚ ହୁଏ।"
"କୂଳରେ ଟ୍ସୁନାମି ଧୀର ହେଉଛି କାହିଁକି?","ଅତିପରି ତଳସ୍ଥଳୀ ଘଷଣା ସୃଷ୍ଟି କରେ, ଗତି କମାଇ ଦିଏ, କିନ୍ତୁ ଉଚ୍ଚତା ବଢ଼ାଏ।"
"ଟ୍ସୁନାମି ତରଙ୍ଗ କେତେ ଉଚ୍ଚ ହୋଇପାରେ?","ସାଧାରଣତଃ 3-30 ମିଟର, ଅତିପରି ଘଟଣାରେ 40 ମିଟର ଉପରେ।"
"ଟ୍ସୁନାମି ରନଅପ୍ କ'ଣ?","ସମୁଦ୍ର ସ୍ତରରୁ ଭୂମିକୁ ଯାଉଥିବା ଅଧିକତମ ଉର୍ଦ୍ଧ୍ୱ ଉଚ୍ଚତା।"
"ଟ୍ସୁନାମି କେତେ ଦୂର ଭିତରକୁ ଯାଇପାରେ?","ସମତଳ କୂଳୀୟ ମାଞ୍ଚରେ 10 କି.ମି. ପର୍ଯ୍ୟନ୍ତ।"
"ସମସ୍ତ ଟ୍ସୁନାମି ତରଙ୍ଗ ସମାନ ହୋଇଥାଏ କି?","ନାହିଁ, ପରବର୍ତ୍ତୀ ତରଙ୍ଗ ପ୍ରଥମ ତରଙ୍ଗଠାରୁ ବଡ଼ ହୋଇପାରେ।"
"ଟ୍ସୁନାମି ତରଙ୍ଗ ମଧ୍ୟରେ ସମୟ କେତେ?","ସାଧାରଣତଃ 10-45 ମିନିଟ ପର୍ଯ୍ୟନ୍ତ।"
"ଟ୍ସୁନାମି ପରେ କେବେ ମାନସିକ ସ୍ୱାସ୍ଥ୍ୟ ସହାୟତା ନିଅବାକୁ ଉଚିତ?","ଲକ୍ଷଣ ଚାଲୁଥିଲେ କିମ୍ବା ଦୈନିକ କାର୍ଯ୍ୟକଳାପକୁ ବାଧା ପଢ଼ାଏ।"
"ଟ୍ସୁନାମି ଆଘାତ ସହିତ ସନ୍ତାନଙ୍କୁ କିପରି ସହାୟତା କରିବେ?","ସାନ୍ତ୍ୱନା ଦିଅନ୍ତୁ, ଦୈନିକ ରୁଟିନ ରକ୍ଷା କରନ୍ତୁ, ବୟସୁପାୟୁକ୍ତ ସଠିକ୍ ସୂଚନା ଦିଅନ୍ତୁ।"
"ଟ୍ସୁନାମିରେ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଡକ୍ୟୁମେଣ୍ଟ ହରାଇଗଲେ କ'ଣ କରିବେ?","ID, ବୀମା କାଗଜ, ଚିକିତ୍ସା ରେକର୍ଡ ପୁନର୍ବାର ପାଇଁ ସଂସ୍ଥା ସହିତ ସଂଯୋଗ କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପରେ ହରାଇଥିବା ପରିବାର ସଦସ୍ୟଙ୍କୁ କିପରି ଖୋଜିବେ?","ରେଡ୍ କ୍ରସ୍ ସହିତ ସଂଯୋଗ, ଆଶ୍ରୟକେନ୍ଦ୍ର ଯାଞ୍ଚ, ସୁରକ୍ଷିତ ଭାବେ ସୋସିଆଲ୍ ମିଡ଼ିଆ ବ୍ୟବହାର କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପରେ କୌଣସି ସହାୟତା ଉପଲବ୍ଧ?","FEMA ସହାୟତା, Red Cross ସହାୟତା, ସ୍ଥାନୀୟ ଚାରିଟି, ବୀମା ଦାବି।"
"ଟ୍ସୁନାମି ପୁନର୍ବାସ କେତେ ସମୟ ନେଇଥାଏ?","କ୍ଷତି ଗଭୀରତା ଓ ସଂସାଧନ ଉପଲବ୍ଧତା ଉପରେ ନିର୍ଭର କରି ମାସ ଠାରୁ ବର୍ଷ ଧରି।"
"ଟ୍ସୁନାମି ପରେ ସେହି ସ୍ଥାନରେ ପୁନର୍ନିର୍ମାଣ କରିବା ଉଚିତ କି?","ଉଚ୍ଚତା, ସେଟ୍ବ୍ୟାକ୍, ଉନ୍ନତ ନିର୍ମାଣ ପ୍ରଣାଳୀ ବିଚାର କରନ୍ତୁ।"
"ଟ୍ସୁନାମି-ପ୍ରତିରୋଧୀ ନିର୍ମାଣ କ'ଣ?","ଉଚ୍ଚ ସଂରଚନା, ବ୍ରେକଅୱେ ଦେୱାଳ, ସୁଦୃଢ ଉପାଦାନ, ସଠିକ୍ ଡ୍ରେନେଜ୍।"
"ଉପସ୍ଥିତ ଭବନକୁ କିପରି ଟ୍ସୁନାମି-ପ୍ରତିରୋଧୀ କରିବେ?","ଉପକରଣ ଉଚ୍ଚ କରନ୍ତୁ, ଫ୍ଲଡ୍ ଭେଣ୍ଟ ସଂସ୍ଥାପନ କରନ୍ତୁ, ଫାଉଣ୍ଡେସନ୍ ଶକ୍ତିଶାଳୀ କରନ୍ତୁ, ନିକାସ୍ ପଥ ସୃଷ୍ଟି କରନ୍ତୁ।"
"କେଉଁ ପ୍ରକାର ଲ୍ୟାଣ୍ଡସ୍କେପିଂ ଟ୍ସୁନାମି ପାଇଁ ସହାୟକ?","ସ୍ଥାନୀୟ ସେଜୀବନ୍ତା, ପ୍ରାକୃତିକ ବାରିଅର, ଶକ୍ତିଶାଳୀ ପରିସର ଟାଳନ୍ତୁ ଯାହା ରନଅପ୍ ବଢ଼ାଏ।"
"ସମୁଦ୍ର କୂଳ ସମୁଦାୟରେ ସିୱାଲ୍ ଥିବା ଉଚିତ କି?","ସାହାୟକ ହୋଇପାରେ, କିନ୍ତୁ ଭୁଲ ସୁରକ୍ଷା ଭାବନା ଦେଇପାରେ, ବଡ଼ ଟ୍ସୁନାମିରେ କାର୍ଯ୍ୟକାରୀ ନୁହେଁ।"
"ସୂର୍ଯ୍ୟାଧାରିତ ପଳାଇବା କ'ଣ?","ଯେତେବେଳେ ଅଡ଼ିକ୍ଷ ରାସ୍ତାରେ ପଳାଇବା ସମ୍ଭବ ନୁହେଁ, ଭବନରେ ଉପରକୁ ଯିବା।"
"ଭର୍ଟିକାଲ୍ ପଳାଇବା ଭବନ କେତେ ଉଚ୍ଚ ହୋଇପାରିବ?","ଅତିକମ୍ 4 ମାଳ ନିମ୍ନରୁ କିମ୍ବା ଆଶାକୃତ ଟ୍ସୁନାମି ଶକ୍ତି ଧରିପାରିବା ଭାବରେ ଡିଜାଇନ୍ କରାଯାଇଛି।"
"ସୁଖାଦ ଟ୍ସୁନାମି ପଳାଇବା ଭବନ କେମିତି?","ଶକ୍ତିଶାଳୀ କଂକ୍ରିଟ୍, ଷ୍ଟିଲ୍ ଫ୍ରେମ୍, ଆଶାକୃତ ତରଙ୍ଗ ଉପରେ, ଅନେକ ନିକାସ ପଥ।"
"ଟ୍ସୁନାମି ପଳାଇବା ପଥ କିପରି ଡିଜାଇନ୍ କରିବେ?","ବ୍ୟାପକ, ସଫା ପଥ, ଅବାଧିତ ଉଚ୍ଚ ଜମିକୁ।"
"ପଳାଇବା ପଥରେ ସଙ୍କେତ ଥିବା ଉଚିତ କି?","ହଁ, ସୁସ୍ପଷ୍ଟ ବହୁଭାଷୀ ସଙ୍କେତ, ସୁରକ୍ଷିତ ସ୍ଥାନ ପର୍ଯ୍ୟନ୍ତ ଦିଶା ଓ ଦୂରତା ଦେଖାଏ।"
"ପ୍ରାକୃତିକ ବାରିଅର କ'ଣ କାର୍ଯ୍ୟ କରେ?","ମ୍ୟାଙ୍ଗ୍ରୋଭ୍, କୋରାଲ୍ ରୀଫ୍, ଟିଳ୍ ଟ୍ସୁନାମି ଶକ୍ତି କମାଏ, କିନ୍ତୁ ରୋକିପାରେ ନାହିଁ।"
"ସମୁଦାୟ କିପରି ଟ୍ସୁନାମି ଜୋଖିମ ବିଷୟରେ ଶିକ୍ଷା ଦେଇଥାଏ?","ସାଧାରଣ ଡ୍ରିଲ୍, ଶିକ୍ଷା ପ୍ରଚାର, ବିଦ୍ୟାଳୟ କାର୍ଯ୍ୟକ୍ରମ, ସତର୍କତା ପରୀକ୍ଷା।"
"ଟ୍ସୁନାମିରେ TsunamiReady ସର୍ଟିଫିକେସନ୍ କ'ଣ?","NOAA କାର୍ଯ୍ୟକ୍ରମ, ସଫଳ ପ୍ରସ୍ତୁତି ଥିବା ସମୁଦାୟକୁ ପରିଚୟ।"
"ସମୁଦାୟ କେତେ ପର୍ଯ୍ୟନ୍ତ ଟ୍ସୁନାମି ଡ୍ରିଲ୍ ଅଭ୍ୟାସ କରିବେ?","କମ୍-କମ୍ ବାର୍ଷିକ, ଉଚ୍ଚ-ଜୋଖିମ କ୍ଷେତ୍ରରେ ଅଧିକ।"
"ବିଦ୍ୟାଳୟ କ'ଣ କରିବା ଉଚିତ?","ପଳାଇବା ପ୍ରଣାଳୀ, ନିୟମିତ ଡ୍ରିଲ୍, ପିତା-ମାତା ସୂଚନା, ଉଚ୍ଚ ସୁରକ୍ଷିତ ସ୍ଥାନ।"
"ହୋଟେଲ୍ କିପରି ପ୍ରସ୍ତୁତ?","ଅତିଥି ସିଖ୍ୟା, ପଳାଇବା ପ୍ରଣାଳୀ, କର୍ମଚାରୀ ପ୍ରଶିକ୍ଷଣ, ଆପତ୍କାଳୀନ ସାମଗ୍ରୀ।"
"ହସ୍ପିଟାଲ୍ କ'ଣ କରିବା ଉଚିତ?","ଉଚ୍ଚତା ଯୋଜନା, ବ୍ୟାକଅପ୍ ପାୱାର, ରୋଗୀ ପଳାଇବା, କର୍ମଚାରୀ ପ୍ରଶିକ୍ଷଣ।"
"ବନ୍ଦର ଏବଂ ବନ୍ଦରଗାର କିପରି ପ୍ରସ୍ତୁତ?","ସତର୍କତା ପ୍ରଣାଳୀ, ଜାହାଜ ପଳାଇବା, ଢାଞ୍ଞା ସୁରକ୍ଷା, ଆପତ୍କାଳୀନ ପ୍ରତିକ୍ରିୟା।"
"ଆନ୍ତର୍ଜାତୀୟ ସହଯୋଗ କ'ଣ?","ସତର୍କତା ତଥ୍ୟ ବାଣ୍ଟନ, ଗବେଷଣା ସହଯୋଗ, ମାନକୀକୃତ ସତର୍କ ପ୍ରଣାଳୀ।"
"ପ୍ୟାସିଫିକ୍ ଟ୍ସୁନାମି ସତର୍କ କେନ୍ଦ୍ର କ'ଣ?","ଟ୍ସୁନାମି ଝୁଲ୍ ଆପତ୍କାଳ ପାଇଁ ପ୍ୟାସିଫିକ୍ ସମୁଦ୍ର ନିରୀକ୍ଷଣ କରେ।"
"ଭିନ୍ନ ଦେଶ ଟ୍ସୁନାମି ସତର୍କ କିପରି ବାଣ୍ଟନ୍ କରେ?","ଆଞ୍ଚଳିକ ସତର୍କତା ନେଟୱର୍କ ଏବଂ ଆନ୍ତର୍ଜାତୀୟ ସଂଯୋଗ ପ୍ରୋଟୋକଲ୍ ମାଧ୍ୟମରେ।"
"ଟ୍ସୁନାମି ଦ୍ୱାରା ପ୍ରାଣୀକ୍ଷେତ୍ର ନ୍ୟୁକ୍ଲିଅର ପ୍ଲାଣ୍ଟ କ୍ଷତିଗ୍ରସ୍ତ ହେଲେ କ'ଣ କରିବେ?","ପଳାଇବା ନିର୍ଦେଶ ଅନୁସରଣ କରନ୍ତୁ, ନିର୍ଦେଶ ଦିଆଗଲେ ପୋଟାସିୟମ୍ ଆୟୋଡାଇଡ୍ ନିଅନ୍ତୁ, ବିକିରଣ ସ୍ତର ନିରୀକ୍ଷଣ କରନ୍ତୁ।"
"ବିଶ୍ୱ ଭୂକମ୍ପ କାର୍ଯ୍ୟକଳାପ ବିଷୟରେ ସୂଚିତ ରହିବା ଉଚିତ କି?","ହଁ, ବଡ଼ ଦୂର ଭୂକମ୍ପ ଘଣ୍ଟା ପରେ ଟ୍ସୁନାମି ସୃଷ୍ଟି କରିପାରେ।"
"ସବୁଠାରୁ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଟ୍ସୁନାମି ସୁରକ୍ଷା ନୀତି କ'ଣ?","ସନ୍ଦେହରେ ଅଛନ୍ତି, ତେବେ ତୁରନ୍ତ ପଳାଇବେ - ଉଚ୍ଚ ଜମିକୁ ଯିବେ।"
"ଟ୍ସୁନାମି ସୁରକ୍ଷା ପ୍ରାଥମିକତା କିପରି ମନେ ରଖିବେ?","DROP (ଭୂକମ୍ପ), CHECK (ପ୍ରାକୃତିକ ସଙ୍କେତ), GO (ଉଚ୍ଚ ଜମିକୁ ପଳାଇବା) ମନେ କରନ୍ତୁ।"
"ସ୍ଟର୍ମ ସର୍ଜ କ'ଣ?","ଶକ୍ତିଶାଳୀ ପବନ ଜଳକୁ କୂଳ ଦିଗକୁ ଧକ୍କା ଦେଇ ସମୁଦ୍ର ସ୍ତର ବୃଦ୍ଧି।"
"ସ୍ଟର୍ମ ସର୍ଜ କ'ଣ କାରଣ?","ହରିକେନ୍ କିମ୍ବା ଟ୍ରପିକାଲ୍ ଷ୍ଟର୍ମର ପବନ ଓ କମ୍ ପ୍ରେସର।"
"କମ୍ ପ୍ରେସର କିପରି ସର୍ଜକୁ ବୃଦ୍ଧି କରେ?","କମ୍ ପ୍ରେସର ଜଳକୁ ଉପରକୁ ଖିଂଚିବା ପରି ସମୁଦ୍ର ସ୍ତର ବଢ଼ାଏ।"
"ସର୍ଜ କେତେ ଉଚ୍ଚ ହୋଇପାରେ?","ଅତିକମ୍ 9 ମିଟର (30 ଫୁଟ୍) ହରିକେନ୍ରେ, ସାଧାରଣତଃ 1-6 ମିଟର।"
"ସର୍ଜ ଉଚ୍ଚତା କ'ଣ ନିର୍ଣୟ କରେ?","ପବନ ଗତି, ଷ୍ଟର୍ମ ଆକାର, ଆସ୍ଥିତିକୋଣ, କୂଳ ଭୂତଳ, ତାଲ ନୀତି।"
"ହରିକେନ୍ର ସବୁଠାରୁ ଜୋଖିମ କ'ଣ?","ସର୍ଜ ପ୍ରାୟ 50% ମୃତ୍ୟୁ ଘଟାଏ।"
"ସର୍ଜ କେତେ ଦୂର ଭିତରକୁ ଯାଏ?","ସାଧାରଣ ସମୁଦ୍ର ପ୍ଲେନ୍ରେ 25 କି.ମି।"
"ସ୍ଟର୍ମ ଟାଇଡ୍ କ'ଣ?","ସାଧାରଣ ନୌକା ଚଢାଉ ଟାଇଡ୍ ସହିତ ସର୍ଜ ଉଚ୍ଚତା।"
"ସର୍ଜ କେବଳ ହରିକେନ୍ ଦୌରା ହୁଏ କି?","ନୁହେଁ, ଯେକୌଣସି ଶକ୍ତିଶାଳୀ ଷ୍ଟର୍ମ ସର୍ଜ ତିଆରି କରିପାରେ।"
"ବିନ୍ଡ୍ ସେଟଅପ୍ କ'ଣ?","ଷ୍ଟର୍ମ ଆସିବା ପূର୍ବରୁ ପବନ ଦ୍ୱାରା କୂଳକୁ ଜଳ ପୁଷ୍ କରାଯିବା।"
"କୂଳ ଆକୃତି ସର୍ଜ କିପରି ପ୍ରଭାବିତ କରେ?","ଫାନ୍‌ଆକାର ଖାଳିବା ଏବଂ ନଦୀ ମୁହାଁ ଉଚ୍ଚତା ବୃଦ୍ଧି କରେ।"
"Wave setup କ'ଣ?","ସର୍ଜ ଉପରେ ଭାଙ୍ଗିଥିବା ତରଙ୍ଗ ଦ୍ୱାରା ଅତିରିକ୍ତ ଜଳସ୍ତର ବୃଦ୍ଧି।"
"ଭିନ୍ନ ପ୍ରକାର ବନ୍ଧା ଜଳାବୃତ୍ତି କ'ଣ?","କୂଳ, ନଦୀ, ହଠାତ୍, ଶହରୀ, ଭୂଗତ ଜଳ, ବନ୍ଧ ବିଫଳତା।"
"Flash flooding କ'ଣ କାରଣ?","ଭୂମି ଶୋଷଣ ଓ ନିକାସ୍ ସାମର୍ଥ୍ୟ ଅତିକ୍ରମ କରିଥିବା ଭାରି ବର୍ଷା।"
"Flash floods କେତେ ଶୀଘ୍ର ଘଟେ?","ଭାରି ବର୍ଷାରେ ମିନିଟ୍ ଠାରୁ ଘଣ୍ଟାରେ।"
